A5r,A8l,A3r,A7r,A6r,A4l,A5l,A3l,A7l,A6l,A4r,A8r,A2l,A2r
-0.02336071545034593,0.012567098376285458,-0.0032755376046013926,-0.10897397381916452,-0.13562821459572433,-0.03648618183854334,-0.08446378718861738,-0.07166644803413603,-0.11755934769728014,0.027979085280574727,0.0058838911404998214,-0.03132234240809741,0.012838563421109075,0.024652830201716696
0.013693596743724083,-0.021079407096334768,-0.008060188142167694,-0.041716109428039896,-0.06454391919143308,0.004807444597503598,-0.034920693563796436,-0.02011681866720817,-0.015041518272217785,-0.0432599167774666,-0.03290870408006547,-0.06632876106576253,0.004888481484208616,-0.01852106052561462
-0.020750202551855907,-0.19974150752885778,-0.16733602725671926,0.026010404996328347,-0.08835145152709589,-0.024829031727787537,-0.017274942722908374,-0.051509522965464904,0.05301337070927289,-0.06443848280613286,-0.006700985579576911,0.03584422211039256,0.005785172557805354,0.06452645496929972
-0.07803213737447273,-0.09326987630368296,-0.13418024692844469,-0.113410163842606,0.0030385676212392825,0.0167663253465386,-0.016513550791872715,-0.009440502254401004,-0.09035847327639294,0.058768803939749446,-0.05410412957785961,0.05955584692936573,-0.018829185043923582,-0.0879130402648179
-0.05588710571765719,0.029391047945915225,-0.16173251162666788,-0.028842410496304392,-0.05548359921530198,0.03912183413809271,-0.020192708268836304,0.04537850116459548,-0.05604343595794792,-0.05147150019436166,0.028075534893452075,-0.020467046837503302,-0.021554154313496783,0.1571324069251136
-0.06219860249075836,0.05152548237094491,0.037810576596759786,-0.03691264895362628,-0.03449641713680966,-0.014919939690175719,0.0005464367654032057,-0.002572455710288002,-0.12277553266729176,-0.05866051314839913,-0.006352477390212166,0.03828589515760141,0.031451425957258604,-0.036834784312486546
-0.019233484262033265,-0.008917037508414084,0.036568268296038084,-0.08610762964909911,0.020308512026477713,-0.025645534626821342,0.015949364722561445,0.03451824689325013,-0.08132825664063069,-0.08943507870044168,-0.016221328679313116,-0.037862934961586894,0.009636446715554725,0.04557070666777679
-0.0862390816665373,-0.032432133293998675,0.047031880804472445,-0.04574128359105308,-0.1061241742816569,-0.025985654172907234,-0.029605405860578658,0.054667008086840094,-0.10409337917377591,-0.05332485174549057,-0.13566222856718715,0.011487284961776355,-0.004641256321281187,0.17165215431791972
0.042720342936428166,-0.08446438201618867,-0.013823249865130392,0.018482916310843936,-0.09387435863402606,0.02236595780297948,-0.044976340147335356,0.0836925708070311,0.03005120925111358,-0.06863597926557159,-0.020692634785644214,-0.04120009451130943,0.03990487505442589,0.05710799003954586
-0.012426922449144567,-0.0934489838657581,-0.020945787891409856,-0.031655572792434854,0.015811981320045833,0.02610958040696764,0.006517675881158149,0.088645890913517,-0.03594659096919324,0.008603204724575368,-0.059431953454021115,0.08663575994322223,0.07003205283622516,-0.14297628795049655
-0.18293272010555742,0.06650263625189058,-0.1528299920496913,0.08120283622172036,-0.10577842878347311,0.0012457886767613497,-0.030867150006980704,0.026976539772573055,-0.031102809203411356,-0.03347299896313182,-0.052368905734205946,-0.06366560234260235,0.04459118088124897,-0.1407702078078881
-0.06419118011686117,0.0005254957009133325,0.15230769618229978,0.01539127136669891,-0.09357619026766446,0.038903589653113746,0.04411924940422627,0.053308834343746066,0.03890552850548972,-0.03647542485828395,0.051278216806063134,-0.01224360800977695,0.07482241014513635,0.08789781053035753
-0.11080679010503569,0.13280965540255824,-0.028144530491505913,-0.016705709540714046,-0.08156332972467521,0.04186065872057728,0.10995538138943217,0.06388513875927415,-0.13251192386213512,0.018078214253332905,-0.034524136843246185,-0.07911718648473612,0.010652386000254081,-0.15199304364341915
-0.09564579335048148,0.06455857789120052,0.22462935223119188,0.0954496564238238,-0.02997781532320808,0.05264609451828488,0.06786800085100211,-0.00041616995639803,0.07514132533540097,-0.08171564538767645,-0.03285131234841494,0.02767571582569089,0.04314063130750353,0.027116522087677078
0.08694284132348168,0.04658378653010938,0.052189760302889195,-0.026943439090373795,-0.012756114467624594,0.04890466683173134,0.028737194625965384,0.03595541119751007,-0.005387272159772611,-0.0006151833375567667,-0.07747603503280104,0.011260010470918234,0.04634201469534198,-0.10041570924286494
-0.09450658335468835,0.08736730202520758,-0.02810783848171046,-0.00918013198250949,0.09330942179202525,0.03709509252248932,-0.0074527872623424835,-0.011416952380348497,0.002954966957972765,-0.045899339298631284,-0.023767168668290026,0.029199977514446685,0.0473557776012739,-0.009163464095298609
-0.07529758969975212,-0.10851980575598379,0.026059166993890447,-0.09185088908266259,0.017693869584724794,0.037840841671311555,0.036044534631775864,0.0062517048450483285,-0.056700734846895626,-0.007437297114453586,0.019321649808668535,0.004349982232491913,0.07554598072378825,-0.10844538191141218
-0.11247787137881868,0.006885416837199455,0.10207787916899264,-0.10082835482128324,0.020365361460777352,0.0325270004048887,0.04538538030012368,0.024469963151966534,-0.08107859589540113,0.0669722969904493,0.021586313498723007,0.05087336543788423,0.027494203375868404,0.07813665032208843
-0.02749222953842616,0.04818243413724591,-0.04176758140507212,0.03102651261963013,0.03315587177634678,0.023772915990777358,0.03933556980573683,0.04858345611990406,0.10694292367002406,-0.0031007687692945277,-0.019674862603397285,-0.04973674864061508,0.08419099379841724,-0.1161469515885658
-0.003702339299488997,0.01978924597323255,-0.010563940534821627,0.02394840666064961,-0.0033904942472541607,-0.022442103358336355,0.08280997396570193,0.026210732323897555,-0.0911908820338474,-0.00421513368825315,0.04127668101097613,-0.029132575135446735,0.0070478322052700635,-0.09692669553450191
-0.02104195559930226,0.10407028452317464,-0.06775986270818732,0.05588239162951715,0.05660167721114474,0.019074918787702698,0.07607090396439649,-0.019480413906087814,-0.04328631696291562,-0.0386646954349459,0.002129583934059572,-0.10255269213482074,0.05562480875639548,-0.06789757683631661
0.029225128603230968,0.1330327759701911,-0.04032924724204315,-0.051042200659048034,-0.04964015558874959,0.028369714821689193,-0.03961403499219885,-0.021028720680606103,-0.1131450736015105,-0.0028826606056986965,-0.0031812853997207377,-0.030320100709152545,-0.0020922198511503843,0.0477091017931466
0.14770743470332404,0.10231187494243467,0.019143032150018183,0.018995608872695382,-0.0845888880322098,0.03193781643877355,0.005058203529264826,-0.07577661524296501,0.02445280776413855,0.019064477028531042,-0.1037181989173538,-0.05327953915902144,0.0026766495315789806,-0.03999981010054915
